tpre,tpost,prior_low,prior_high,post_low,post_high,tobs,yobs,ytrue_prior,ytrue_post,dose_1,dose_2
0.5,120.5,0.06282196,0.19887020000000008,0.17773380000000003,0.27008259999999995,114.5857620471279,0.30028183848824597,0.144912570539,0.19630173680890362,12.78,15
1.0,121.0,0.1027018,0.2956343,0.21429559999999997,0.34352809999999995,114.5857620471279,0.30028183848824597,0.22562331515864154,0.24926331354033948,12.78,15
1.5,121.5,0.1271574,0.330459,0.2332821,0.37492149999999996,114.5857620471279,0.30028183848824597,0.26670204793491986,0.27351299866976686,12.78,15
2.0,122.0,0.14088509999999999,0.3341826,0.24179540000000002,0.3811326,114.5857620471279,0.30028183848824597,0.2835495688409808,0.2803553995300442,12.78,15
2.5,122.5,0.146793,0.3269837000000001,0.24318490000000004,0.3740251,114.5857620471279,0.30028183848824597,0.2858030452749127,0.27685432550555683,12.78,15
3.0,123.0,0.1470443,0.3116623,0.23964229999999997,0.35839620000000005,114.5857620471279,0.30028183848824597,0.2794778011365899,0.26740940957283665,12.78,15
3.5,123.5,0.14510889999999999,0.29119150000000005,0.2329187,0.3403693,114.5857620471279,0.30028183848824597,0.26831429473800367,0.2547475984819654,12.78,15
4.0,124.0,0.1400764,0.2711191,0.222951,0.3211059,114.5857620471279,0.30028183848824597,0.2546251593137696,0.24054659819915974,12.78,15
4.5,124.5,0.1336077,0.25268650000000004,0.2119903,0.30287039999999993,114.5857620471279,0.30028183848824597,0.23982778779719832,0.22582682629031026,12.78,15
5.0,125.0,0.12731599999999998,0.2345937,0.2002411,0.28375839999999997,114.5857620471279,0.30028183848824597,0.22477913323950796,0.2111977645116489,12.78,15
5.5,125.5,0.11998850000000001,0.2172454,0.18813139999999998,0.26678650000000004,114.5857620471279,0.30028183848824597,0.20998611293721137,0.1970127395411616,12.78,15
6.0,126.0,0.11221229999999999,0.20116480000000003,0.17554360000000002,0.25094400000000006,114.5857620471279,0.30028183848824597,0.1957377781236974,0.18346611576675903,12.78,15
6.5,126.5,0.10470879999999999,0.18604330000000002,0.16312949999999998,0.236104,114.5857620471279,0.30028183848824597,0.18218828518829638,0.17065427592864996,12.78,15
7.0,127.0,0.09690768,0.1724031,0.15100980000000003,0.22244119999999998,114.5857620471279,0.30028183848824597,0.1694089318409695,0.15861383465720655,12.78,15
7.5,127.5,0.08994479999999999,0.15952920000000004,0.14010550000000002,0.2099979,114.5857620471279,0.30028183848824597,0.15742074550595722,0.14734554136527978,12.78,15
8.0,128.0,0.08263815,0.14802579999999999,0.1291837,0.1983121,114.5857620471279,0.30028183848824597,0.1462148489307833,0.13682919106845698,12.78,15
8.5,128.5,0.07616569999999999,0.1382442,0.11914759999999999,0.1870346,114.5857620471279,0.30028183848824597,0.13576514696287537,0.12703288795200024,12.78,15
9.0,129.0,0.06992579,0.1288598,0.1102185,0.17685410000000001,114.5857620471279,0.30028183848824597,0.12603619206186056,0.11791876501206522,12.78,15
9.5,129.5,0.06379612,0.1200857,0.10149069999999999,0.1675,114.5857620471279,0.30028183848824597,0.1169880253873703,0.10944648221628919,12.78,15
10.0,130.0,0.05820731,0.111928,0.09327339,0.1588504,114.5857620471279,0.30028183848824597,0.10857912312372305,0.1015753344773836,12.78,15
10.5,130.5,0.05266171,0.1046035,0.08575665,0.150477,114.5857620471279,0.30028183848824597,0.10076815807376509,0.0942654918269206,12.78,15
11.0,131.0,0.047819110000000005,0.09814182000000002,0.07857416,0.1429273,114.5857620471279,0.30028183848824597,0.09351502263674862,0.0874786999038619,12.78,15
